,fluxes
11OXPENT,0.0
23PDE2e,0.0
23PDE4e,0.0
23PDE7e,0.0
23PDE9e,0.0
24DCLPMO,0.0
24DHX5M6OI,0.0
25DBUT,0.0
2ABZMOx,0.0
2ABZMOy,0.0
2AMUCSAD,0.0
2CLRED,0.0
2DHGLCK,0.0
2K3DRHAM,0.0
2MBCOATA,0.028780477278672344
2OGLUAH,0.0
2OH3EDISO,0.0
2OXOADOX,0.0
33BIFLAV,0.0
34HPPOR,0.0
36AHDGALC,0.0
38BIFLAVS,0.0
38DPCLOR,0.0
3AIBUTS,0.0
3CLBZDH,0.0
3CTHPPT,0.0
3HBCOADH,0.0
3HCINNMH,0.0
3HPPPNH,0.0
3K5AHC,0.0
3MBZDH,0.0
3NTD2e,0.0
3NTD4e,0.0
3NTD7e,0.0
3NTD9e,0.0
3OAR100,0.0213277572693518
3OAR110,0.0008653978875549084
3OAR120,0.01725295612741035
3OAR121,0.004074801141941452
3OAR130,0.0008653978875549084
3OAR140,0.01725295612741035
3OAR141,0.004074801141941452
3OAR150,0.0008653978875549084
3OAR160,0.015865042814847866
3OAR161,0.004074801141941452
3OAR170,0.0
3OAR180,0.0
3OAR181,0.0
3OAR40,0.0
3OAR50,0.0008653978875549084
3OAR60,0.021352496882660593
3OAR70,0.0008653978875549084
3OAR80,0.021352496882660593
3OAR90,0.0008653978875549084
3OARai110,0.028780477278672344
3OARai130,0.028780477278672344
3OARai150,0.028780477278672344
3OARai170,0.013783172846004143
3OARai70,0.028780477278672344
3OARai90,0.028780477278672344
3OARi100,0.020630289871133224
3OARi110,0.01508156223916439
3OARi120,0.020630289871133224
3OARi130,0.01508156223916439
3OARi140,0.020630289871133224
3OARi150,0.01508156223916439
3OARi160,0.017597008837269855
3OARi170,0.006412955272211132
3OARi180,0.0
3OARi60,0.020630289871133224
3OARi70,0.01508156223916439
3OARi80,0.020630289871133224
3OARi90,0.01508156223916439
3OAS100,0.0213277572693518
3OAS110,0.0008653978875549084
3OAS120,0.01725295612741035
3OAS121,0.004074801141941452
3OAS130,0.0008653978875549084
3OAS140,0.01725295612741035
3OAS141,0.004074801141941452
3OAS150,0.0008653978875549084
3OAS160,0.015865042814847866
3OAS161,0.004074801141941452
3OAS170,0.0
3OAS180,0.0
3OAS181,0.0
3OAS50,0.0008653978875549084
3OAS60,0.02135249688266059
3OAS70,0.0008653978875549084
3OAS80,0.021352496882660593
3OAS90,0.0008653978875549084
3OASai110,0.028780477278672344
3OASai130,0.028780477278672344
3OASai150,0.028780477278672344
3OASai170,0.013783172846004143
3OASai70,0.028780477278672344
3OASai90,0.028780477278672344
3OASi100,0.020630289871133224
3OASi110,0.01508156223916439
3OASi120,0.020630289871133224
3OASi130,0.01508156223916439
3OASi140,0.020630289871133224
3OASi150,0.01508156223916439
3OASi160,0.017597008837269855
3OASi170,0.006412955272211132
3OASi180,0.0
3OASi60,0.020630289871133224
3OASi70,0.01508156223916439
3OASi80,0.020630289871133224
3OASi90,0.01508156223916439
3OCHOCDH,0.0
3OXCOADH,0.0
3OXCOAT,0.0
45DOPA,0.0
4HDAPMO,0.0
